title	link	source	date	title_corrected	migracion
México registra 9 mil 295 nuevos contagios de COVID-19 en las últimas 24 horas - Radio Fórmula - Radio Fórmula	https://news.google.com/__i/rss/rd/articles/CBMigQFodHRwczovL3d3dy5yYWRpb2Zvcm11bGEuY29tLm14L25vdGljaWFzLzIwMjEwODE1L21leGljby1yZWdpc3RyYS05LW1pbC0yOTUtbnVldm9zLWNvbnRhZ2lvcy1kZS1jb3ZpZC0xOS1lbi1sYXMtdWx0aW1hcy0yNC1ob3Jhcy_SAYUBaHR0cHM6Ly93d3cucmFkaW9mb3JtdWxhLmNvbS5teC9ub3RpY2lhcy8yMDIxMDgxNS9tZXhpY28tcmVnaXN0cmEtOS1taWwtMjk1LW51ZXZvcy1jb250YWdpb3MtZGUtY292aWQtMTktZW4tbGFzLXVsdGltYXMtMjQtaG9yYXMvYW1wLw?oc=5	Radio Fórmula	2021-08-15	México registra 9 mil 295 nuevos contagios de COVID-19 en las últimas 24 horas	0
¿Qué es el “Picteleo”, actividad con tanques de gas LP que enciende las alertas? - SinEmbargo MX	https://news.google.com/__i/rss/rd/articles/CBMiLGh0dHBzOi8vd3d3LnNpbmVtYmFyZ28ubXgvMTUtMDgtMjAyMS80MDE0ODU20gEA?oc=5	SinEmbargo MX	2021-08-15	¿Qué es el “Picteleo”, actividad con tanques de gas LP que enciende las alertas?	0
SLP se declara en semáforo rojo ante aumento en casos de covid - Milenio	https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL2VzdGFkb3Mvc2VtYWZvcm8tcm9qby1zYW4tbHVpcy1wb3Rvc2ktYWx6YS1jb250YWdpb3MtY292aWQtMTnSAVVodHRwczovL2FtcC5taWxlbmlvLmNvbS9lc3RhZG9zL3NlbWFmb3JvLXJvam8tc2FuLWx1aXMtcG90b3NpLWFsemEtY29udGFnaW9zLWNvdmlkLTE5?oc=5	Milenio	2021-08-15	SLP se declara en semáforo rojo ante aumento en casos de covid	0
Unicef palomea regreso a las aulas; pide a SEP dar más información - Milenio	https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHBzOi8vd3d3Lm1pbGVuaW8uY29tL3BvbGl0aWNhL2NvbXVuaWRhZC91bmljZWYtcGlkZS1zZXAtaW5mb3JtYWNpb24tcmVncmVzby1jbGFzZXMtcHJlc2VuY2lhbNIBYGh0dHBzOi8vYW1wLm1pbGVuaW8uY29tL3BvbGl0aWNhL2NvbXVuaWRhZC91bmljZWYtcGlkZS1zZXAtaW5mb3JtYWNpb24tcmVncmVzby1jbGFzZXMtcHJlc2VuY2lhbA?oc=5	Milenio	2021-08-16	Unicef palomea regreso a las aulas; pide a SEP dar más información	0
Hidalgo no regresará a clases presenciales: Fayad - Excélsior	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmV4Y2Vsc2lvci5jb20ubXgvbmFjaW9uYWwvaGlkYWxnby1uby1yZWdyZXNhcmEtYS1jbGFzZXMtcHJlc2VuY2lhbGVzLWZheWFkLzE0NjYxODjSAWJodHRwczovL3d3dy5leGNlbHNpb3IuY29tLm14L25hY2lvbmFsL2hpZGFsZ28tbm8tcmVncmVzYXJhLWEtY2xhc2VzLXByZXNlbmNpYWxlcy1mYXlhZC8xNDY2MTg4P2FtcA?oc=5	Excélsior	2021-08-16	Hidalgo no regresará a clases presenciales: Fayad	0
Así fue realmente la caída de Tenochtitlán, según el historiador Pedro Salmerón - El Financiero Bloomberg	https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9a1c3RGNSZ0VVTDDSAQA?oc=5	El Financiero Bloomberg	2021-08-16	Así fue realmente la caída de Tenochtitlán, según el historiador Pedro Salmerón	0
Feministas arriban al Ángel de la Independencia; se registra trifulca | El Universal - El Universal	https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vd3d3LmVsdW5pdmVyc2FsLmNvbS5teC9tZXRyb3BvbGkvY2RteC9mZW1pbmlzdGFzLWFycmliYW4tYWwtYW5nZWwtZGUtbGEtaW5kZXBlbmRlbmNpYS1zZS1yZWdpc3RyYS10cmlmdWxjYdIBdmh0dHBzOi8vd3d3LmVsdW5pdmVyc2FsLmNvbS5teC9tZXRyb3BvbGkvY2RteC9mZW1pbmlzdGFzLWFycmliYW4tYWwtYW5nZWwtZGUtbGEtaW5kZXBlbmRlbmNpYS1zZS1yZWdpc3RyYS10cmlmdWxjYT9hbXA?oc=5	El Universal	2021-08-16	Feministas arriban al Ángel de la Independencia; se registra trifulca	0
Cofece multa con 903.5 millones de pesos a grandes distribuidoras de fármacos - El Economista	https://news.google.com/__i/rss/rd/articles/CBMihQFodHRwczovL3d3dy5lbGVjb25vbWlzdGEuY29tLm14L2VtcHJlc2FzL0NvZmVjZS1tdWx0YS1hLTUtZW1wcmVzYXMtcG9yLWNvbHVzaW9uLWVuLWxhLWRpc3RyaWJ1Y2lvbi1kZS1tZWRpY2FtZW50b3MtMjAyMTA4MTYtMDA1Ny5odG1s0gGJAWh0dHBzOi8vd3d3LmVsZWNvbm9taXN0YS5jb20ubXgvYW1wL2VtcHJlc2FzL0NvZmVjZS1tdWx0YS1hLTUtZW1wcmVzYXMtcG9yLWNvbHVzaW9uLWVuLWxhLWRpc3RyaWJ1Y2lvbi1kZS1tZWRpY2FtZW50b3MtMjAyMTA4MTYtMDA1Ny5odG1s?oc=5	El Economista	2021-08-16	Cofece multa con 903.5 millones de pesos a grandes distribuidoras de fármacos	0
Viola Ley familia de Manuel de la O; arman rodeo en Juárez - El Horizonte	https://news.google.com/__i/rss/rd/articles/CBMiVmh0dHBzOi8vd3d3LmVsaG9yaXpvbnRlLm14L2xvY2FsL3Zpb2xhLWxleS1mYW1pbGlhLW1hbnVlbC1vLWFybWFuLXJvZGVvLWp1YXJlei80MDI5NDA40gEA?oc=5	El Horizonte	2021-08-16	Viola Ley familia de Manuel de la O; arman rodeo en Juárez	0
SEP: ¿Cuándo son las inscripciones y qué requisitos piden? - Noticieros Televisa	https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LnRlbGV2aXNhLmNvbS9ub3RpY2lhcy9zZXAtY3VhbmRvLXNvbi1sYXMtaW5zY3JpcGNpb25lcy15LXF1ZS1yZXF1aXNpdG9zLXBpZGVuL9IBXmh0dHBzOi8vd3d3LnRlbGV2aXNhLmNvbS9ub3RpY2lhcy9zZXAtY3VhbmRvLXNvbi1sYXMtaW5zY3JpcGNpb25lcy15LXF1ZS1yZXF1aXNpdG9zLXBpZGVuL2FtcC8?oc=5	Noticieros Televisa	2021-08-16	SEP: ¿Cuándo son las inscripciones y qué requisitos piden?	0
