title	link	source	date	title_corrected	migracion
Rusia y Nicaragua firman un acuerdo de seguridad cibernética durante el encuentro de sus ministros de... - RT en Español	https://news.google.com/__i/rss/rd/articles/CBMiWWh0dHBzOi8vYWN0dWFsaWRhZC5ydC5jb20vYWN0dWFsaWRhZC8zOTgxOTQtcnVzaWEtbmljYXJhZ3VhLWFjdWVyZG8tc2VndXJpZGFkLWNpYmVybmV0aWNh0gFdaHR0cHM6Ly9hY3R1YWxpZGFkLnJ0LmNvbS9hY3R1YWxpZGFkLzM5ODE5NC1ydXNpYS1uaWNhcmFndWEtYWN1ZXJkby1zZWd1cmlkYWQtY2liZXJuZXRpY2EvYW1w?oc=5	RT en Español	2021-07-19	Rusia y Nicaragua firman un acuerdo de seguridad cibernética durante el encuentro de sus ministros de...	0
Oleada de arrestos a opositores sacude a Nicaragua a cuatro meses de las elecciones - FRANCE 24 Español	https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lcy9hbSVDMyVBOXJpY2EtbGF0aW5hLzIwMjEwNzI2LW5pY2FyYWd1YS1vcG9zaWNpb24tb3J0ZWdhLWRldGVuY2lvbmVzLXByZXNvc9IBZmh0dHBzOi8vYW1wLmZyYW5jZTI0LmNvbS9lcy9hbSVDMyVBOXJpY2EtbGF0aW5hLzIwMjEwNzI2LW5pY2FyYWd1YS1vcG9zaWNpb24tb3J0ZWdhLWRldGVuY2lvbmVzLXByZXNvcw?oc=5	FRANCE 24 Español	2021-07-26	Oleada de arrestos a opositores sacude a Nicaragua a cuatro meses de las elecciones	0
Comisionado de Miami anuncia nueva manifestación publica: “¡Abajo cadenas en Cuba, Nicaragua, Venezuela!” - WPLG Local 10	https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5sb2NhbDEwLmNvbS9lc3Bhbm9sLzIwMjEvMDcvMjgvZW4tdml2by1jb21pc2lvbmFkby1hbnVuY2lhLWxhLW1hbmlmZXN0YWNpb24tZGVsLXNhYmFkby1wb3ItbGEtbGliZXJ0YWQtZW4tYmF5ZnJvbnQtcGFyay_SAQA?oc=5	WPLG Local 10	2021-07-28	Comisionado de Miami anuncia nueva manifestación publica: “¡Abajo cadenas en Cuba, Nicaragua, Venezuela!”	0
Blinken aborda con Albares la situación de Cuba, Venezuela y Nicaragua - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vZWxwYWlzLmNvbS9lc3BhbmEvMjAyMS0wNy0yOS9ibGlua2VuLWFib3JkYS1jb24tYWxiYXJlcy1sYS1zaXR1YWNpb24tZGUtY3ViYS12ZW5lenVlbGEteS1uaWNhcmFndWEuaHRtbNIBfmh0dHBzOi8vZWxwYWlzLmNvbS9lc3BhbmEvMjAyMS0wNy0yOS9ibGlua2VuLWFib3JkYS1jb24tYWxiYXJlcy1sYS1zaXR1YWNpb24tZGUtY3ViYS12ZW5lenVlbGEteS1uaWNhcmFndWEuaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5	EL PAÍS	2021-07-29	Blinken aborda con Albares la situación de Cuba, Venezuela y Nicaragua	0
Colombia y Nicaragua volverán a La Haya por disputa marítima - Portafolio.co	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LnBvcnRhZm9saW8uY28vaW50ZXJuYWNpb25hbC9jb2xvbWJpYS15LW5pY2FyYWd1YS1hLWxhLWhheWEtZGUtbnVldm8tcG9yLWRpc3B1dGEtZGUtZnJvbnRlcmFzLW1hcml0aW1hcy01NTQ1NjPSAX1odHRwczovL3d3dy5wb3J0YWZvbGlvLmNvL2FtcC9pbnRlcm5hY2lvbmFsL2NvbG9tYmlhLXktbmljYXJhZ3VhLWEtbGEtaGF5YS1kZS1udWV2by1wb3ItZGlzcHV0YS1kZS1mcm9udGVyYXMtbWFyaXRpbWFzLTU1NDU2Mw?oc=5	Portafolio.co	2021-07-29	Colombia y Nicaragua volverán a La Haya por disputa marítima	0
Nicaragua: oposición reta a Ortega con nueva fórmula, pese al asedio - FRANCE 24 Español	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lcy9hbSVDMyVBOXJpY2EtbGF0aW5hLzIwMjEwNzI5LW5pY2FyYWd1YS1vcG9zaWNpJUMzJUIzbi1mb3JtdWxhLWVsZWNjaW9uZXMtb3J0ZWdh0gFraHR0cHM6Ly9hbXAuZnJhbmNlMjQuY29tL2VzL2FtJUMzJUE5cmljYS1sYXRpbmEvMjAyMTA3MjktbmljYXJhZ3VhLW9wb3NpY2klQzMlQjNuLWZvcm11bGEtZWxlY2Npb25lcy1vcnRlZ2E?oc=5	FRANCE 24 Español	2021-07-29	Nicaragua: oposición reta a Ortega con nueva fórmula, pese al asedio	0
Nicaragua recibe 36.480 vacunas donadas por Noruega a través de COVAX - OPS/OMS | Organización Panamericana de la Salud - PAHO	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LnBhaG8ub3JnL2VzL25vdGljaWFzLzMwLTctMjAyMS1uaWNhcmFndWEtcmVjaWJlLTM2NDgwLXZhY3VuYXMtZG9uYWRhcy1wb3Itbm9ydWVnYS10cmF2ZXMtY292YXjSAQA?oc=5	PAHO	2021-07-30	Nicaragua recibe 36.480 vacunas donadas por Noruega a través de COVAXOPS/OMSOrganización Panamericana de la Salud	0
Nicaragua da nacionalidad a expresidente salvadoreño prófugo - NY1 Noticias	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3Lm55MW5vdGljaWFzLmNvbS9ueWMvbm90aWNpYXMvbm90aWNpYXMvMjAyMS8wNy8zMC9uaWNhcmFndWEtZGEtbmFjaW9uYWxpZGFkLWEtZXhwcmVzaWRlbnRlLXNhbHZhZG9yZW5vLXByb2Z1Z2_SAQA?oc=5	NY1 Noticias	2021-07-30	Nicaragua da nacionalidad a expresidente salvadoreño prófugo	0
Ortega y Murillo sellan una elección a su medida en Nicaragua - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vZWxwYWlzLmNvbS9pbnRlcm5hY2lvbmFsLzIwMjEtMDgtMDMvb3J0ZWdhLXktbXVyaWxsby1zZWxsYW4tdW5hLWVsZWNjaW9uLWEtc3UtbWVkaWRhLWVuLW5pY2FyYWd1YS5odG1s0gF9aHR0cHM6Ly9lbHBhaXMuY29tL2ludGVybmFjaW9uYWwvMjAyMS0wOC0wMy9vcnRlZ2EteS1tdXJpbGxvLXNlbGxhbi11bmEtZWxlY2Npb24tYS1zdS1tZWRpZGEtZW4tbmljYXJhZ3VhLmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5	EL PAÍS	2021-08-02	Ortega y Murillo sellan una elección a su medida en Nicaragua	0
Emigración (1): el sueño de Yanick Iseli en Nicaragua - swissinfo.ch	https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3LnN3aXNzaW5mby5jaC9zcGEvc29jaWVkYWQvZXhwYXRyaWFjaSVDMyVCM24tLWVsLXN1ZSVDMyVCMW8tZGUteWFuaWNrLWlzZWxpLWVuLW5pY2FyYWd1YS80NjgzODAyONIBAA?oc=5	swissinfo.ch	2021-08-03	Emigración (1): el sueño de Yanick Iseli en Nicaragua	1
