title	link	source	date	title_corrected	migracion
Los amistosos de Panamá: Serbia y Haití en República Dominicana y Jamaica en Penonomé - RPC TV	https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3LnJwY3R2LmNvbS9kZXBvcnRlcy9mdXRib2wvU2VyYmlhLVJlcHVibGljYS1Eb21pbmljYW5hLUphbWFpY2EtUGVub25vbWVfMF8xNDI5OTU2OTk3Lmh0bWzSAQA?oc=5	RPC TV	2021-01-19	Los amistosos de Panamá: Serbia y Haití en República Dominicana y Jamaica en Penonomé	0
Definido el roster del equipo de Panamá para la Serie del Caribe - RPC TV	https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LnJwY3R2LmNvbS9kZXBvcnRlcy9iZWlzYm9sL0RlZmluaWRvLUZlZGVyYWxlcy1DaGlyaXF1aS1TZXJpZS1DYXJpYmVfMF8xNDMyOTU2Njk4Lmh0bWzSAWVodHRwczovL3d3dy5ycGN0di5jb20vZGVwb3J0ZXMvYmVpc2JvbC9EZWZpbmlkby1GZWRlcmFsZXMtQ2hpcmlxdWktU2VyaWUtQ2FyaWJlXzBfMTQzMjk1NjY5OC5odG1sL2FtcA?oc=5	RPC TV	2021-01-29	Definido el roster del equipo de Panamá para la Serie del Caribe	0
Resumen y carreras: Panamá 3-4 República Dominicana en Serie del Caribe 2021 - VAVEL.com	https://news.google.com/__i/rss/rd/articles/CBMihQFodHRwczovL3d3dy52YXZlbC5jb20vbXgvYmVpc2JvbC1teC8yMDIxLzAyLzA1LzEwNTgxNDMtcGFuYW1hdnMtcmVwdWJsaWNhLWRvbWluaWNhbmEtZW4tdml2by1vbmxpbmUtZW4tc2VyaWUtZGVsLWNhcmliZS0yMDIxLTAtMC5odG1s0gGJAWh0dHBzOi8vd3d3LnZhdmVsLmNvbS9teC9iZWlzYm9sLW14LzIwMjEvMDIvMDUvMTA1ODE0My1wYW5hbWF2cy1yZXB1YmxpY2EtZG9taW5pY2FuYS1lbi12aXZvLW9ubGluZS1lbi1zZXJpZS1kZWwtY2FyaWJlLTIwMjEtMC0wLmFtcC5odG1s?oc=5	VAVEL.com	2021-02-05	Resumen y carreras: Panamá 3-4 República Dominicana en Serie del Caribe 2021	0
4-3. República Dominicana derrota a Panamá y accede a la final - EFE - Noticias	https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3LmVmZS5jb20vZWZlL2FtZXJpY2EvZGVwb3J0ZXMvNC0zLXJlcHVibGljYS1kb21pbmljYW5hLWRlcnJvdGEtYS1wYW5hbWEteS1hY2NlZGUtbGEtZmluYWwvMjAwMDAwMTAtNDQ1ODc2NdIBAA?oc=5	EFE - Noticias	2021-02-06	4-3. República Dominicana derrota a Panamá y accede a la finalEFE	0
Califican de 'hipócrita' política exterior de la República de Panamá - Panamá América	https://news.google.com/__i/rss/rd/articles/CBMiaGh0dHBzOi8vd3d3LnBhbmFtYWFtZXJpY2EuY29tLnBhL2p1ZGljaWFsL2NhbGlmaWNhbi1oaXBvY3JpdGEtcG9saXRpY2EtZXh0ZXJpb3ItcmVwdWJsaWNhLXBhbmFtYS0xMTgxNzEx0gFsaHR0cHM6Ly93d3cucGFuYW1hYW1lcmljYS5jb20ucGEvanVkaWNpYWwvY2FsaWZpY2FuLWhpcG9jcml0YS1wb2xpdGljYS1leHRlcmlvci1yZXB1YmxpY2EtcGFuYW1hLTExODE3MTEvYW1w?oc=5	Panamá América	2021-02-18	Califican de 'hipócrita' política exterior de la República de Panamá	0
Selección de Panamá viaja este domingo a República Dominicana - RPC TV	https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3LnJwY3R2LmNvbS9tYXJlYXJvamEvU2VsZWNjaW9uLVBhbmFtYS1kb21pbmdvLVJlcHVibGljYS1Eb21pbmljYW5hXzBfMTQ0Nzk1NTE5Mi5odG1s0gFjaHR0cHM6Ly93d3cucnBjdHYuY29tL21hcmVhcm9qYS9TZWxlY2Npb24tUGFuYW1hLWRvbWluZ28tUmVwdWJsaWNhLURvbWluaWNhbmFfMF8xNDQ3OTU1MTkyLmh0bWwvYW1w?oc=5	RPC TV	2021-03-20	Selección de Panamá viaja este domingo a República Dominicana	0
No hay estadio para disputar el partido entre Panamá y República Dominicana - La Estrella de Panamá	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vd3d3LmxhZXN0cmVsbGEuY29tLnBhL2RlcG9ydGVzL2Z1dGJvbC8yMTA0MTIvaGF5LWVzdGFkaW8tZGlzcHV0YXItcGFydGlkby1wYW5hbWEtcmVwdWJsaWNhLWRvbWluaWNhbmHSAXFodHRwczovL3d3dy5sYWVzdHJlbGxhLmNvbS5wYS9hbXAvZGVwb3J0ZXMvZnV0Ym9sLzIxMDQxMi9oYXktZXN0YWRpby1kaXNwdXRhci1wYXJ0aWRvLXBhbmFtYS1yZXB1YmxpY2EtZG9taW5pY2FuYQ?oc=5	La Estrella de Panamá	2021-04-12	No hay estadio para disputar el partido entre Panamá y República Dominicana	0
Descubierto un 'narcogato' que intentaba entrar droga en una cárcel de Panamá - La Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3LmxhdmFuZ3VhcmRpYS5jb20vdmlkYS8yMDIxMDQyMS82OTg3MjYwL25hcmNvZ2F0by1kcm9nYS1jYXJjZWwtcGFuYW1hLmh0bWzSAVlodHRwczovL3d3dy5sYXZhbmd1YXJkaWEuY29tL3ZpZGEvMjAyMTA0MjEvNjk4NzI2MC9uYXJjb2dhdG8tZHJvZ2EtY2FyY2VsLXBhbmFtYS5hbXAuaHRtbA?oc=5	La Vanguardia	2021-04-21	Descubierto un 'narcogato' que intentaba entrar droga en una cárcel de Panamá	0
Lluvia de críticas por errores en monumento - El Siglo Panamá	https://news.google.com/__i/rss/rd/articles/CBMiR2h0dHA6Ly9lbHNpZ2xvLmNvbS5wYS9wYW5hbWEvbGx1dmlhLWNyaXRpY2FzLWVycm9yZXMtbW9udW1lbnRvLzI0MTc3Mzg40gEA?oc=5	El Siglo Panamá	2021-05-05	Lluvia de críticas por errores en monumento	0
Esta es la lista de convocados por Panamá para enfrentar a Anguila y República Dominicana - La Prensa Panamá	https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LnByZW5zYS5jb20vZGVwb3J0ZXMvZXN0YS1lcy1sYS1saXN0YS1kZS1jb252b2NhZG9zLXBvci1wYW5hbWEtcGFyYS1lbmZyZW50YXItYS1hbmd1aWxhLXktcmVwdWJsaWNhLWRvbWluaWNhbmEv0gEA?oc=5	La Prensa Panamá	2021-05-31	Esta es la lista de convocados por Panamá para enfrentar a Anguila y República Dominicana	0
Panamá compartirá grupo con Brasil en el Mundial de Futsal, debutará ante República Checa - La Prensa Panamá	https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vd3d3LnByZW5zYS5jb20vZGVwb3J0ZXMvcGFuYW1hLWNvbXBhcnRpcmEtZ3J1cG8tY29uLWJyYXNpbC1lbi1lbC1tdW5kaWFsLWRlLWZ1dHNhbC_SAQA?oc=5	La Prensa Panamá	2021-06-01	Panamá compartirá grupo con Brasil en el Mundial de Futsal, debutará ante República Checa	0
InterEnergy y AES inician proyecto de gas natural en Panamá - Energía Hoy - EnergiaHoy	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vZW5lcmdpYWhveS5jb20vMjAyMS8wNi8wMy9pbnRlcmVuZXJneS15LWFlcy1pbmljaWFuLXByb3llY3RvLWRlLWdhcy1uYXR1cmFsLWVuLXBhbmFtYS_SAQA?oc=5	EnergiaHoy	2021-06-03	InterEnergy y AES inician proyecto de gas natural en PanamáEnergía Hoy	0
La selección de Panamá jugará de rojo contra República Dominicana - TVMAX Panamá	https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LnR2bWF4LTkuY29tL3NvbW9zbGFzZWxlL3NlbGVjY2lvbi1QYW5hbWEtanVnYXJhLVJlcHVibGljYS1Eb21pbmljYW5hXzBfNTg3MDQxMjk3NS5odG1s0gFmaHR0cHM6Ly93d3cudHZtYXgtOS5jb20vc29tb3NsYXNlbGUvc2VsZWNjaW9uLVBhbmFtYS1qdWdhcmEtUmVwdWJsaWNhLURvbWluaWNhbmFfMF81ODcwNDEyOTc1LmFtcC5odG1s?oc=5	TVMAX Panamá	2021-06-07	La selección de Panamá jugará de rojo contra República Dominicana	0
Panamá crea una reserva marina casi tan grande como su superficie terrestre - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL2VscGFpcy5jb20vY2xpbWEteS1tZWRpby1hbWJpZW50ZS8yMDIxLTA2LTA4L3BhbmFtYS1jcmVhLXVuYS1yZXNlcnZhLW1hcmluYS1jYXNpLXRhbi1ncmFuZGUtY29tby1zdS1zdXBlcmZpY2llLXRlcnJlc3RlLmh0bWzSAZMBaHR0cHM6Ly9lbHBhaXMuY29tL2NsaW1hLXktbWVkaW8tYW1iaWVudGUvMjAyMS0wNi0wOC9wYW5hbWEtY3JlYS11bmEtcmVzZXJ2YS1tYXJpbmEtY2FzaS10YW4tZ3JhbmRlLWNvbW8tc3Utc3VwZXJmaWNpZS10ZXJyZXN0ZS5odG1sP291dHB1dFR5cGU9YW1w?oc=5	EL PAÍS	2021-06-08	Panamá crea una reserva marina casi tan grande como su superficie terrestre	0
Panamá recibe embarque con 42,120 dosis de Pfizer. - presidencia.gob.pa	https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LnByZXNpZGVuY2lhLmdvYi5wYS9Ob3RpY2lhcy9QYW5hbWEtcmVjaWJlLWVtYmFycXVlLWNvbi00Mi0xMjAtZG9zaXMtZGUtUGZpemVyLdIBAA?oc=5	presidencia.gob.pa	2021-06-15	Panamá recibe embarque con 42,120 dosis de Pfizer.	0
Selección femenina de Panamá enfrentará esta tarde a Nicaragua - En Segundos	https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vZW5zZWd1bmRvcy5jb20ucGEvMjAyMS8wNy8wNC9zZWxlY2Npb24tZmVtZW5pbmEtZGUtcGFuYW1hLWVuZnJlbnRhcmEtZXN0YS10YXJkZS1hLXJlcHVibGljYS1kb21pbmljYW5hL9IBAA?oc=5	En Segundos	2021-07-04	Selección femenina de Panamá enfrentará esta tarde a Nicaragua	0
Presidente Cortizo Cohen entrega pabellón nacional a la delegación que representará a Panamá en olimpiadas de Tokio. - presidencia.gob.pa	https://news.google.com/__i/rss/rd/articles/CBMinAFodHRwczovL3d3dy5wcmVzaWRlbmNpYS5nb2IucGEvTm90aWNpYXMvUHJlc2lkZW50ZS1Db3J0aXpvLUNvaGVuLWVudHJlZ2EtcGFiZWxsb24tbmFjaW9uYWwtYS1sYS1kZWxlZ2FjaW9uLXF1ZS1yZXByZXNlbnRhcmEtYS1QYW5hbWEtZW4tb2xpbXBpYWRhcy1kZS1Ub2tpby3SAQA?oc=5	presidencia.gob.pa	2021-07-07	Presidente Cortizo Cohen entrega pabellón nacional a la delegación que representará a Panamá en olimpiadas de Tokio.	0
Canciller de Panamá anuncia que se quejará con EE.UU. por su advertencia de no viajar al país - CNN	https://news.google.com/__i/rss/rd/articles/CBMiVGh0dHBzOi8vY25uZXNwYW5vbC5jbm4uY29tLzIwMjEvMDcvMTUvY2FuY2lsbGVyLXBhbmFtYS1xdWVqYS1lZS11dS1hZHZlcnRlbmNpYS1vcml4L9IBWGh0dHBzOi8vY25uZXNwYW5vbC5jbm4uY29tLzIwMjEvMDcvMTUvY2FuY2lsbGVyLXBhbmFtYS1xdWVqYS1lZS11dS1hZHZlcnRlbmNpYS1vcml4L2FtcC8?oc=5	CNN	2021-07-15	Canciller de Panamá anuncia que se quejará con EE.UU. por su advertencia de no viajar al país	0
Juegos Olímpicos Tokio 2020 con 10 atletas de Panamá - ecotvpanama.com	https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vd3d3LmVjb3R2cGFuYW1hLmNvbS9kZXBvcnRlcy9qdWVnb3Mtb2xpbXBpY29zLXRva2lvLTIwMjAtMTAtYXRsZXRhcy1wYW5hbWEtbjUzMDA3NjLSAV9odHRwczovL3d3dy5lY290dnBhbmFtYS5jb20vZGVwb3J0ZXMvanVlZ29zLW9saW1waWNvcy10b2tpby0yMDIwLTEwLWF0bGV0YXMtcGFuYW1hLW41MzAwNzYyL2FtcA?oc=5	ecotvpanama.com	2021-07-21	Juegos Olímpicos Tokio 2020 con 10 atletas de Panamá	0
Wingo recibe autorización para abrir rutas desde Panamá | Noticias de turismo REPORTUR - REPORTUR	https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LnJlcG9ydHVyLmNvbS9hZXJvbGluZWFzLzIwMjEvMDgvMTIvd2luZ28tcmVjaWJlLWF1dG9yaXphY2lvbi1hYnJpci1ydXRhcy1kZXNkZS1wYW5hbWEv0gEA?oc=5	REPORTUR	2021-08-13	Wingo recibe autorización para abrir rutas desde PanamáNoticias de turismo 	0
Panamá recolecta ayuda humanitaria para enviar Haití en cooperación con Chile - Listín Diario	https://news.google.com/__i/rss/rd/articles/CBMihgFodHRwczovL2xpc3RpbmRpYXJpby5jb20vbGFzLW11bmRpYWxlcy8yMDIxLzA4LzE2LzY4NDE3OC9wYW5hbWEtcmVjb2xlY3RhLWF5dWRhLWh1bWFuaXRhcmlhLXBhcmEtZW52aWFyLWhhaXRpLWVuLWNvb3BlcmFjaW9uLWNvbi1jaGlsZdIBiwFodHRwczovL2xpc3RpbmRpYXJpby5jb20vbGFzLW11bmRpYWxlcy8yMDIxLzA4LzE2LzY4NDE3OC9wYW5hbWEtcmVjb2xlY3RhLWF5dWRhLWh1bWFuaXRhcmlhLXBhcmEtZW52aWFyLWhhaXRpLWVuLWNvb3BlcmFjaW9uLWNvbi1jaGlsZS9hbXAv?oc=5	Listín Diario	2021-08-16	Panamá recolecta ayuda humanitaria para enviar Haití en cooperación con Chile	0
