title	link	source	date	title_corrected	migracion
Decreto Supremo que prorroga la emergencia sanitaria declarada por Decreto Supremo N° 008-2020-SA, prorrogada por Decretos Supremos N° 020-2020-SA, N° 027-2020-SA, N° 031-2020-SA y N° 009-2021-SA-DECRETO SUPREMO-N° 025-2021-SA - El Peruano	https://news.google.com/__i/rss/rd/articles/CBMikgFodHRwczovL2J1c3F1ZWRhcy5lbHBlcnVhbm8ucGUvbm9ybWFzbGVnYWxlcy9kZWNyZXRvLXN1cHJlbW8tcXVlLXByb3Jyb2dhLWxhLWVtZXJnZW5jaWEtc2FuaXRhcmlhLWRlY2xhcmEtZGVjcmV0by1zdXByZW1vLW4tMDI1LTIwMjEtc2EtMTk4MjIwNy0zL9IBAA?oc=5	El Peruano	2021-08-14	Decreto Supremo que prorroga la emergencia sanitaria declarada por Decreto Supremo N° 008-2020-SA, prorrogada por Decretos Supremos N° 020-2020-SA, N° 027-2020-SA, N° 031-2020-SA y N° 009-2021-SA-DECRETO SUPREMO-N° 025-2021-SA	0
Huancayo y por qué le dicen la Ciudad Incontrastable - Diario Perú21	https://news.google.com/__i/rss/rd/articles/CBMigAJodHRwczovL3BlcnUyMS5wZS9wZXJ1L2h1YW5jYXlvLXktcG9yLXF1ZS1sZS1kaWNlbi1sYS1jaXVkYWQtaW5jb250cmFzdGFibGUtcGVydS1vcmlnZW4tZGUtY2l1ZGFkLWluY29udHJhc3RhYmxlLXBvci1xdWUtYS1odWFuY2F5by1sZS1kaWNlbi1jaXVkYWQtaW5jb250cmFzdGFibGUtcG9yLXF1ZS1jb25vY2VuLWEtaHVhbmNheW8tY29tby1jaXVkYWQtaW5jb250cmFzdGFibGUtaGlzdG9yaWEtZGUtaHVhbmNheW8tbm5kYS1ubmx0LW5vdGljaWEv0gGPAmh0dHBzOi8vcGVydTIxLnBlL3BlcnUvaHVhbmNheW8teS1wb3ItcXVlLWxlLWRpY2VuLWxhLWNpdWRhZC1pbmNvbnRyYXN0YWJsZS1wZXJ1LW9yaWdlbi1kZS1jaXVkYWQtaW5jb250cmFzdGFibGUtcG9yLXF1ZS1hLWh1YW5jYXlvLWxlLWRpY2VuLWNpdWRhZC1pbmNvbnRyYXN0YWJsZS1wb3ItcXVlLWNvbm9jZW4tYS1odWFuY2F5by1jb21vLWNpdWRhZC1pbmNvbnRyYXN0YWJsZS1oaXN0b3JpYS1kZS1odWFuY2F5by1ubmRhLW5ubHQtbm90aWNpYS8_b3V0cHV0VHlwZT1hbXA?oc=5	Diario Perú21	2021-08-15	Huancayo y por qué le dicen la Ciudad Incontrastable	0
Construcción del puente Morales Duárez presenta un avance del 85% y será concluida antes de fin de año - Diario Perú21	https://news.google.com/__i/rss/rd/articles/CBMiqgFodHRwczovL3BlcnUyMS5wZS9saW1hL211bmljaXBhbGlkYWQtZGUtbGltYS1jb25zdHJ1Y2Npb24tZGVsLXB1ZW50ZS1tb3JhbGVzLWR1YXJlei1wcmVzZW50YS11bi1hdmFuY2UtZGVsLTg1LXktc2VyYS1jb25jbHVpZGEtYW50ZXMtZGUtZmluLWRlLWFuby1yaW8tcmltYWMtbm5kYy1ub3RpY2lhL9IBuQFodHRwczovL3BlcnUyMS5wZS9saW1hL211bmljaXBhbGlkYWQtZGUtbGltYS1jb25zdHJ1Y2Npb24tZGVsLXB1ZW50ZS1tb3JhbGVzLWR1YXJlei1wcmVzZW50YS11bi1hdmFuY2UtZGVsLTg1LXktc2VyYS1jb25jbHVpZGEtYW50ZXMtZGUtZmluLWRlLWFuby1yaW8tcmltYWMtbm5kYy1ub3RpY2lhLz9vdXRwdXRUeXBlPWFtcA?oc=5	Diario Perú21	2021-08-15	Construcción del puente Morales Duárez presenta un avance del 85% y será concluida antes de fin de año	0
Link Bono 600: cómo saber si eres beneficiario y cuándo podrás cobrarlo - El Comercio Perú	https://news.google.com/__i/rss/rd/articles/CBMisQFodHRwczovL2VsY29tZXJjaW8ucGUvcmVzcHVlc3Rhcy9saW5rLWJvbm8tNjAwLWNvbnN1bHRhLWFxdWktY29uLWRuaS1zaS1lcmVzLWJlbmVmaWNpYXJpby15LWN1YW5kby1jb2JyYXJhcy1lbC1zdWJzaWRpby1wb3ItZWwtY292aWQtMTktbWlkaXMtYm9uby02MDAtc29sZXMtcGVydS1yZXZ0bGktbm90aWNpYS_SAcABaHR0cHM6Ly9lbGNvbWVyY2lvLnBlL3Jlc3B1ZXN0YXMvbGluay1ib25vLTYwMC1jb25zdWx0YS1hcXVpLWNvbi1kbmktc2ktZXJlcy1iZW5lZmljaWFyaW8teS1jdWFuZG8tY29icmFyYXMtZWwtc3Vic2lkaW8tcG9yLWVsLWNvdmlkLTE5LW1pZGlzLWJvbm8tNjAwLXNvbGVzLXBlcnUtcmV2dGxpLW5vdGljaWEvP291dHB1dFR5cGU9YW1w?oc=5	El Comercio Perú	2021-08-16	Link Bono 600: cómo saber si eres beneficiario y cuándo podrás cobrarlo	0
Bono 600 LINK: revisa aquí si eres beneficiario y en qué fecha y dónde podrás cobrarlo - El Comercio Perú	https://news.google.com/__i/rss/rd/articles/CBMipgFodHRwczovL2VsY29tZXJjaW8ucGUvcmVzcHVlc3Rhcy9ib25vLTYwMC1saW5rLXJldmlzYS1zaS1lcmVzLWJlbmVmaWNpYXJpby15LXF1ZS1kaWEtcG9kcmFzLWNvYnJhcmxvLXktZG9uZGUtYm9uby02MDAtc29sZXMtYm9uby02MDAtZ29iLXBlLW1pZGlzLXBlcnUtcmV2dGxpLW5vdGljaWEv0gG1AWh0dHBzOi8vZWxjb21lcmNpby5wZS9yZXNwdWVzdGFzL2Jvbm8tNjAwLWxpbmstcmV2aXNhLXNpLWVyZXMtYmVuZWZpY2lhcmlvLXktcXVlLWRpYS1wb2RyYXMtY29icmFybG8teS1kb25kZS1ib25vLTYwMC1zb2xlcy1ib25vLTYwMC1nb2ItcGUtbWlkaXMtcGVydS1yZXZ0bGktbm90aWNpYS8_b3V0cHV0VHlwZT1hbXA?oc=5	El Comercio Perú	2021-08-16	Bono 600 LINK: revisa aquí si eres beneficiario y en qué fecha y dónde podrás cobrarlo	0
MTC: señalan a viceministro de Comunicaciones de haber plagiado tesis para obtener maestría - El Comercio Perú	https://news.google.com/__i/rss/rd/articles/CBMivwFodHRwczovL2VsY29tZXJjaW8ucGUvbGltYS9zdWNlc29zL3ZpY2VtaW5pc3Ryby1kZS1jb211bmljYWNpb25lcy1kZWwtbXRjLWVzLXNlbmFsYWRvLWRlLXBsYWdpYXItdGVzaXMtcGFyYS1vYnRlbmVyLW1hZXN0cmlhLWhhcm9sLW1vcmEtbWluaXN0ZXJpby1kZS10cmFuc3BvcnRlLXktY29tdW5pY2FjaW9uZXMtbm5kYy1ub3RpY2lhL9IBzgFodHRwczovL2VsY29tZXJjaW8ucGUvbGltYS9zdWNlc29zL3ZpY2VtaW5pc3Ryby1kZS1jb211bmljYWNpb25lcy1kZWwtbXRjLWVzLXNlbmFsYWRvLWRlLXBsYWdpYXItdGVzaXMtcGFyYS1vYnRlbmVyLW1hZXN0cmlhLWhhcm9sLW1vcmEtbWluaXN0ZXJpby1kZS10cmFuc3BvcnRlLXktY29tdW5pY2FjaW9uZXMtbm5kYy1ub3RpY2lhLz9vdXRwdXRUeXBlPWFtcA?oc=5	El Comercio Perú	2021-08-16	MTC: señalan a viceministro de Comunicaciones de haber plagiado tesis para obtener maestría	0
"SNRTV: ""Pedro Castillo nos expresó su posición firme en la defensa y respeto a la libertad de expresión"" - RPP Noticias"	https://news.google.com/__i/rss/rd/articles/CBMilAFodHRwczovL3JwcC5wZS9wZXJ1L2FjdHVhbGlkYWQvc25ydHYtcGVkcm8tY2FzdGlsbG8tbm9zLWV4cHJlc28tc3UtcG9zaWNpb24tZmlybWUtZW4tbGEtZGVmZW5zYS15LXJlc3BldG8tYS1sYS1saWJlcnRhZC1kZS1leHByZXNpb24tbm90aWNpYS0xMzUyODAx0gGYAWh0dHBzOi8vYW1wLnJwcC5wZS9wZXJ1L2FjdHVhbGlkYWQvc25ydHYtcGVkcm8tY2FzdGlsbG8tbm9zLWV4cHJlc28tc3UtcG9zaWNpb24tZmlybWUtZW4tbGEtZGVmZW5zYS15LXJlc3BldG8tYS1sYS1saWJlcnRhZC1kZS1leHByZXNpb24tbm90aWNpYS0xMzUyODAx?oc=5	RPP Noticias	2021-08-16	"SNRTV: ""Pedro Castillo nos expresó su posición firme en la defensa y respeto a la libertad de expresión"""	0
Vacuna COVID-19: todo sobre el quinto vacunatón y a quiénes corresponde vacunarse esta semana en Lima y Callao - Diario Trome	https://news.google.com/__i/rss/rd/articles/CBMizAFodHRwczovL3Ryb21lLnBlL3Jlc3B1ZXN0YXMvdmFjdW5hLWNvdmlkLTE5LXRvZG8tc29icmUtZWwtcXVpbnRvLXZhY3VuYXRvbi15LWEtcXVpZW5lcy1jb3JyZXNwb25kZS12YWN1bmFyc2UtbGEtc2VtYW5hLWRlbC0xNi1hbC0yMi1kZS1hZ29zdG8tZW4tbGltYS15LWNhbGxhby1taW5zYS1wb25nby1lbC1ob21icm8tcGVydS1ubmRhLW5ubHQtbm90aWNpYS_SAdsBaHR0cHM6Ly90cm9tZS5wZS9yZXNwdWVzdGFzL3ZhY3VuYS1jb3ZpZC0xOS10b2RvLXNvYnJlLWVsLXF1aW50by12YWN1bmF0b24teS1hLXF1aWVuZXMtY29ycmVzcG9uZGUtdmFjdW5hcnNlLWxhLXNlbWFuYS1kZWwtMTYtYWwtMjItZGUtYWdvc3RvLWVuLWxpbWEteS1jYWxsYW8tbWluc2EtcG9uZ28tZWwtaG9tYnJvLXBlcnUtbm5kYS1ubmx0LW5vdGljaWEvP291dHB1dFR5cGU9YW1w?oc=5	Diario Trome	2021-08-16	Vacuna COVID-19: todo sobre el quinto vacunatón y a quiénes corresponde vacunarse esta semana en Lima y Callao	0
Precio de dólar podría llegar a los S/ 4.20 en el corto plazo, según Credicorp Capital - Diario Gestión	https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vZ2VzdGlvbi5wZS9lY29ub21pYS9wcmVjaW8tZGUtZG9sYXItcG9kcmlhLWxsZWdhci1hLWxvcy1zLTQyMC1lbi1lbC1jb3J0by1wbGF6by1zZWd1bi1jcmVkaWNvcnAtY2FwaXRhbC1ubmRjLW5vdGljaWEv0gGMAWh0dHBzOi8vZ2VzdGlvbi5wZS9lY29ub21pYS9wcmVjaW8tZGUtZG9sYXItcG9kcmlhLWxsZWdhci1hLWxvcy1zLTQyMC1lbi1lbC1jb3J0by1wbGF6by1zZWd1bi1jcmVkaWNvcnAtY2FwaXRhbC1ubmRjLW5vdGljaWEvP291dHB1dFR5cGU9YW1w?oc=5	Diario Gestión	2021-08-16	Precio de dólar podría llegar a los S/ 4.20 en el corto plazo, según Credicorp Capital	0
Personas con empleo en Lima Metropolitana por debajo de las cifras de hace seis años - Diario Gestión	https://news.google.com/__i/rss/rd/articles/CBMiqgFodHRwczovL2dlc3Rpb24ucGUvZWNvbm9taWEvbWFuYWdlbWVudC1lbXBsZW8vZW1wbGVvLWxpbWEtbWV0cm9wb2xpdGFuYS1pbmVpLXBlcnNvbmFzLWNvbi1lbXBsZW8tZW4tbGltYS1tZXRyb3BvbGl0YW5hLXBvci1kZWJham8tZGUtbGFzLWNpZnJhcy1kZS1oYWNlLXNlaXMtYW5vcy1ub3RpY2lhL9IBuQFodHRwczovL2dlc3Rpb24ucGUvZWNvbm9taWEvbWFuYWdlbWVudC1lbXBsZW8vZW1wbGVvLWxpbWEtbWV0cm9wb2xpdGFuYS1pbmVpLXBlcnNvbmFzLWNvbi1lbXBsZW8tZW4tbGltYS1tZXRyb3BvbGl0YW5hLXBvci1kZWJham8tZGUtbGFzLWNpZnJhcy1kZS1oYWNlLXNlaXMtYW5vcy1ub3RpY2lhLz9vdXRwdXRUeXBlPWFtcA?oc=5	Diario Gestión	2021-08-16	Personas con empleo en Lima Metropolitana por debajo de las cifras de hace seis años	0
