title	link	source	date	title_corrected	migracion
India abrirá su embajada en Paraguay - La Nación	https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5weS9wb2xpdGljYS8yMDIwLzEyLzMxL2luZGlhLWFicmlyYS1zdS1lbWJhamFkYS1lbi1wYXJhZ3VheS_SAWNodHRwOi8vd3d3LmxhbmFjaW9uLmNvbS5weS9wb2xpdGljYS8yMDIwLzEyLzMxL2luZGlhLWFicmlyYS1zdS1lbWJhamFkYS1lbi1wYXJhZ3VheS8_b3V0cHV0VHlwZT1hbXA?oc=5	La Nación	2020-12-31	India abrirá su embajada en Paraguay	0
Las casas de cambios en Paraguay insisten en que las regulaciones fomentan la informalidad - La República	https://news.google.com/__i/rss/rd/articles/CBMiiwFodHRwczovL3d3dy5sYXJlcHVibGljYS5jby9nbG9ib2Vjb25vbWlhL2xhcy1jYXNhcy1kZS1jYW1iaW9zLWVuLXBhcmFndWF5LWluc2lzdGVuLWVuLXF1ZS1sYXMtcmVndWxhY2lvbmVzLWZvbWVudGFuLWxhLWluZm9ybWFsaWRhZC0zMTA3MDc40gGLAWh0dHBzOi8vYW1wLmxhcmVwdWJsaWNhLmNvL2dsb2JvZWNvbm9taWEvbGFzLWNhc2FzLWRlLWNhbWJpb3MtZW4tcGFyYWd1YXktaW5zaXN0ZW4tZW4tcXVlLWxhcy1yZWd1bGFjaW9uZXMtZm9tZW50YW4tbGEtaW5mb3JtYWxpZGFkLTMxMDcwNzg?oc=5	La República	2020-12-31	Las casas de cambios en Paraguay insisten en que las regulaciones fomentan la informalidad	0
Paraguay, que escasea en vacunas, enfrenta cifra récord de muertos por covid-19 - La República	https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLmNvL2dsb2JvZWNvbm9taWEvcGFyYWd1YXktcXVlLWVzY2FzZWEtZW4tdmFjdW5hcy1lbmZyZW50YS1jaWZyYS1yZWNvcmQtZGUtbXVlcnRvcy1wb3ItY292aWQtMTktMzE4ODczONIBfmh0dHBzOi8vYW1wLmxhcmVwdWJsaWNhLmNvL2dsb2JvZWNvbm9taWEvcGFyYWd1YXktcXVlLWVzY2FzZWEtZW4tdmFjdW5hcy1lbmZyZW50YS1jaWZyYS1yZWNvcmQtZGUtbXVlcnRvcy1wb3ItY292aWQtMTktMzE4ODczOA?oc=5	La República	2021-06-21	Paraguay, que escasea en vacunas, enfrenta cifra récord de muertos por covid-19	0
Doble batacazo de bolivianos: Prado y Taborga son campeones en República Dominicana y Paraguay - Opinión Bolivia	https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5vcGluaW9uLmNvbS5iby9hcnRpY3Vsby9kZXBvcnRlcy9wcmFkby10YWJvcmdhLWNvcm9uYW4tY2FtcGVvbmVzLXJlcHVibGljYS1kb21pbmljYW5hLXBhcmFndWF5LzIwMjEwNzI1MTIyNTE2ODI4NTg2Lmh0bWzSAYgBaHR0cHM6Ly93d3cub3Bpbmlvbi5jb20uYm8vYXJ0aWN1bG8vZGVwb3J0ZXMvcHJhZG8tdGFib3JnYS1jb3JvbmFuLWNhbXBlb25lcy1yZXB1YmxpY2EtZG9taW5pY2FuYS1wYXJhZ3VheS8yMDIxMDcyNTEyMjUxNjgyODU4Ni5hbXAuaHRtbA?oc=5	Opinión Bolivia	2021-07-25	Doble batacazo de bolivianos: Prado y Taborga son campeones en República Dominicana y Paraguay	0
Inmuebles en Paraguay: precios bajos, alta renta y menos impuestos seducen a más argentinos - El Cronista Comercial	https://news.google.com/__i/rss/rd/articles/CBMirwFodHRwczovL3d3dy5jcm9uaXN0YS5jb20vYXBlcnR1cmEtbmVnb2Npby9yZWFsLWVzdGF0ZS9pbm11ZWJsZXMtZW4tcGFyYWd1YXktY2FwdGFuLWNhZGEtdmV6LW1hcy1pbnZlcnNpb24tYXJnZW50aW5hLXBvci1jb2NrdGFpbC1kZS1wcmVjaW9zLWJham9zLWFsdGEtcmVudGEteS1tZW5vcy1pbXB1ZXN0b3Mv0gEA?oc=5	El Cronista Comercial	2021-08-05	Inmuebles en Paraguay: precios bajos, alta renta y menos impuestos seducen a más argentinos	0
Paraguay obtuvo medalla de bronce en competencia internacional de matemática - La Nación.com.py	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LmxhbmFjaW9uLmNvbS5weS9wYWlzLzIwMjEvMDgvMTMvcGFyYWd1YXktb2J0dXZvLW1lZGFsbGEtZGUtYnJvbmNlLWVuLWNvbXBldGVuY2lhLWludGVybmFjaW9uYWwtZGUtbWF0ZW1hdGljYS_SAYgBaHR0cHM6Ly93d3cubGFuYWNpb24uY29tLnB5L3BhaXMvMjAyMS8wOC8xMy9wYXJhZ3VheS1vYnR1dm8tbWVkYWxsYS1kZS1icm9uY2UtZW4tY29tcGV0ZW5jaWEtaW50ZXJuYWNpb25hbC1kZS1tYXRlbWF0aWNhLz9vdXRwdXRUeXBlPWFtcA?oc=5	La Nación.com.py	2021-08-13	Paraguay obtuvo medalla de bronce en competencia internacional de matemática	0
Paraguay se alza con bicampeonato panamericano de Judo - D10 - Deportes Paraguay	https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vZDEwLnVsdGltYWhvcmEuY29tL3BhcmFndWF5LXNlLWFsemEtYmljYW1wZW9uYXRvLXBhbmFtZXJpY2Fuby1qdWRvLW4yOTU1OTUzLmh0bWzSAVxodHRwczovL2QxMC51bHRpbWFob3JhLmNvbS9wYXJhZ3VheS1zZS1hbHphLWJpY2FtcGVvbmF0by1wYW5hbWVyaWNhbm8tanVkby1uMjk1NTk1My5odG1sL2FtcA?oc=5	D10 - Deportes Paraguay	2021-08-14	Paraguay se alza con bicampeonato panamericano de JudoD10	0
Uso de mascarilla debe seguir para desacelerar una tercera ola en Paraguay, dice médica - Nacionales - ABC Color	https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5hYmMuY29tLnB5L25hY2lvbmFsZXMvMjAyMS8wOC8xNS91c28tZGUtbWFzY2FyaWxsYS1kZWJlLXNlZ3Vpci1wYXJhLWRlc2FjZWxlcmFyLXVuYS10ZXJjZXJhLW9sYS1lbi1wYXJhZ3VheS1kaWNlLW1lZGljYS_SAZMBaHR0cHM6Ly93d3cuYWJjLmNvbS5weS9uYWNpb25hbGVzLzIwMjEvMDgvMTUvdXNvLWRlLW1hc2NhcmlsbGEtZGViZS1zZWd1aXItcGFyYS1kZXNhY2VsZXJhci11bmEtdGVyY2VyYS1vbGEtZW4tcGFyYWd1YXktZGljZS1tZWRpY2EvP291dHB1dFR5cGU9YW1w?oc=5	ABC Color	2021-08-15	Uso de mascarilla debe seguir para desacelerar una tercera ola en Paraguay, dice médicaNacionales	0
Mariscal Estigarribia humilló a San Lorenzo y dio la nota en la Copa Paraguay - Versus	https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vdmVyc3VzLmxhbmFjaW9uLmNvbS5weS92ZXJzdXMvMjAyMS8wOC8xNi9tYXJpc2NhbC1lc3RpZ2FycmliaWEtaHVtaWxsby1hLXNhbi1sb3JlbnpvLXktZGlvLWxhLW5vdGEtZW4tbGEtY29wYS1wYXJhZ3VheS_SAQA?oc=5	Versus	2021-08-16	Mariscal Estigarribia humilló a San Lorenzo y dio la nota en la Copa Paraguay	0
Covid-19: reportan 19 muertes y 106 nuevos contagios en Paraguay - Nacionales - ABC Color	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vd3d3LmFiYy5jb20ucHkvbmFjaW9uYWxlcy8yMDIxLzA4LzE1L2NvdmlkLTE5LXJlcG9ydGFuLTE5LW11ZXJ0ZXMteS0xMDYtbnVldm9zLWNvbnRhZ2lvcy1lbi1wYXJhZ3VheS_SAXxodHRwczovL3d3dy5hYmMuY29tLnB5L25hY2lvbmFsZXMvMjAyMS8wOC8xNS9jb3ZpZC0xOS1yZXBvcnRhbi0xOS1tdWVydGVzLXktMTA2LW51ZXZvcy1jb250YWdpb3MtZW4tcGFyYWd1YXkvP291dHB1dFR5cGU9YW1w?oc=5	ABC Color	2021-08-16	Covid-19: reportan 19 muertes y 106 nuevos contagios en ParaguayNacionales	0
