title	link	source	date	title_corrected	migracion
Opinie: Het is tijd om eens iets te doen aan het gebrek aan kennis over de relatie tussen Nederland en Suriname - Volkskrant	https://news.google.com/__i/rss/rd/articles/CBMioQFodHRwczovL3d3dy52b2xrc2tyYW50Lm5sL2NvbHVtbnMtb3BpbmllL29waW5pZS1oZXQtaXMtdGlqZC1vbS1lZW5zLWlldHMtdGUtZG9lbi1hYW4taGV0LWdlYnJlay1hYW4ta2VubmlzLW92ZXItZGUtcmVsYXRpZS10dXNzZW4tbmVkZXJsYW5kLWVuLXN1cmluYW1lfmIzZTY0NmQ5L9IBAA?oc=5	Volkskrant	2020-08-19	Opinie: Het is tijd om eens iets te doen aan het gebrek aan kennis over de relatie tussen Nederland en Suriname	0
Nieuwe relatie biedt Nederland en Suriname kansen | Nieuwsbericht - Rijksoverheid.nl	https://news.google.com/__i/rss/rd/articles/CBMiaGh0dHBzOi8vd3d3LnJpamtzb3ZlcmhlaWQubmwvYWN0dWVlbC9uaWV1d3MvMjAyMC8wOC8yNS9uaWV1d2UtcmVsYXRpZS1iaWVkdC1uZWRlcmxhbmQtZW4tc3VyaW5hbWUta2Fuc2Vu0gEA?oc=5	Rijksoverheid.nl	2020-08-25	Nieuwe relatie biedt Nederland en Suriname kansenNieuwsbericht	0
Nijmeegs team legt in Suriname uit hoe je een coronapatiënt veilig op zijn buik legt - De Gelderlander	https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy5nZWxkZXJsYW5kZXIubmwvbmlqbWVnZW4vbmlqbWVlZ3MtdGVhbS1sZWd0LWluLXN1cmluYW1lLXVpdC1ob2UtamUtZWVuLWNvcm9uYXBhdGllbnQtdmVpbGlnLW9wLXppam4tYnVpay1sZWd0fmEzYjJkMTE2L9IBAA?oc=5	De Gelderlander	2020-09-07	Nijmeegs team legt in Suriname uit hoe je een coronapatiënt veilig op zijn buik legt	0
Bliksembezoek Pompeo aan Suriname: 'VS wil er weer voet aan de grond krijgen' - AD.nl	https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3LmFkLm5sL2J1aXRlbmxhbmQvYmxpa3NlbWJlem9lay1wb21wZW8tYWFuLXN1cmluYW1lLXZzLXdpbC1lci13ZWVyLXZvZXQtYWFuLWRlLWdyb25kLWtyaWpnZW5-YTVmMTc5MGMv0gEA?oc=5	AD.nl	2020-09-17	Bliksembezoek Pompeo aan Suriname: 'VS wil er weer voet aan de grond krijgen'	0
Open brief van de Federatie van Surinaamse Agrariers (FSA) gericht aan de President van de Republiek Suriname Z.E. Chandrikapersad Santokhi. - Dagblad Suriname	https://news.google.com/__i/rss/rd/articles/CBMirwFodHRwczovL3d3dy5kYnN1cmluYW1lLmNvbS8yMDIwLzA5LzI5L29wZW4tYnJpZWYtdmFuLWRlLWZlZGVyYXRpZS12YW4tc3VyaW5hYW1zZS1hZ3JhcmllcnMtZnNhLWdlcmljaHQtYWFuLWRlLXByZXNpZGVudC12YW4tZGUtcmVwdWJsaWVrLXN1cmluYW1lLXotZS1jaGFuZHJpa2FwZXJzYWQtc2FudG9raGkv0gEA?oc=5	Dagblad Suriname	2020-09-29	Open brief van de Federatie van Surinaamse Agrariers (FSA) gericht aan de President van de Republiek Suriname Z.E. Chandrikapersad Santokhi.	0
Nederlanders onder voorwaarden weer welkom in Suriname - Luchtvaartnieuws.nl	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3Lmx1Y2h0dmFhcnRuaWV1d3MubmwvbmlldXdzL2NhdGVnb3JpZS8xMTgwL2Jlc3RlbW1pbmdlbi9uZWRlcmxhbmRlcnMtb25kZXItdm9vcndhYXJkZW4td2Vlci13ZWxrb20taW4tc3VyaW5hbWXSAQA?oc=5	Luchtvaartnieuws.nl	2020-10-01	Nederlanders onder voorwaarden weer welkom in Suriname	0
Hart voor Suriname houdt koers – Dagblad Suriname - Dagblad Suriname	https://news.google.com/__i/rss/rd/articles/CBMiRWh0dHBzOi8vd3d3LmRic3VyaW5hbWUuY29tLzIwMjAvMTAvMTIvaGFydC12b29yLXN1cmluYW1lLWhvdWR0LWtvZXJzL9IBAA?oc=5	Dagblad Suriname	2020-10-12	Hart voor Suriname houdt koers – 	0
Suriname zit aan de grond en kan rente niet meer betalen - RTL Nieuws	https://news.google.com/__i/rss/rd/articles/CBMiVGh0dHBzOi8vd3d3LnJ0bG5pZXV3cy5ubC9lY29ub21pZS9hcnRpa2VsLzUxOTIxNTMvc3VyaW5hbWUtbGVuaW5nLXJlbnRlLWJhbmtyb2V0LWltZtIBAA?oc=5	RTL Nieuws	2020-10-23	Suriname zit aan de grond en kan rente niet meer betalen	0
Suriname krijgt roofkunst terug, maar heeft er voorlopig nog geen plek voor - Trouw	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LnRyb3V3Lm5sL2J1aXRlbmxhbmQvc3VyaW5hbWUta3Jpamd0LXJvb2ZrdW5zdC10ZXJ1Zy1tYWFyLWhlZWZ0LWVyLXZvb3Jsb3BpZy1ub2ctZ2Vlbi1wbGVrLXZvb3J-YjRjZjFlMjgv0gEA?oc=5	Trouw	2020-10-28	Suriname krijgt roofkunst terug, maar heeft er voorlopig nog geen plek voor	0
Coalitie trekt 2 miljoen euro uit voor visumvrij reizen van en naar Suriname - NU.nl	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3Lm51Lm5sL3BvbGl0aWVrLzYwODk3OTIvY29hbGl0aWUtdHJla3QtMi1taWxqb2VuLWV1cm8tdWl0LXZvb3ItdmlzdW12cmlqLXJlaXplbi12YW4tZW4tbmFhci1zdXJpbmFtZS5odG1s0gFzaHR0cHM6Ly93d3cubnUubmwvcG9saXRpZWsvNjA4OTc5Mi9jb2FsaXRpZS10cmVrdC0yLW1pbGpvZW4tZXVyby11aXQtdm9vci12aXN1bXZyaWotcmVpemVuLXZhbi1lbi1uYWFyLXN1cmluYW1lLmFtcA?oc=5	NU.nl	2020-11-11	Coalitie trekt 2 miljoen euro uit voor visumvrij reizen van en naar Suriname	0
Vereniging Vrienden van Stadsherstel Suriname lanceert videoreeks 'Futu Pasi' - Dagblad Suriname	https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vd3d3LmRic3VyaW5hbWUuY29tLzIwMjAvMTEvMjMvdmVyZW5pZ2luZy12cmllbmRlbi12YW4tc3RhZHNoZXJzdGVsLXN1cmluYW1lLWxhbmNlZXJ0LXZpZGVvcmVla3MtZnV0dS1wYXNpL9IBAA?oc=5	Dagblad Suriname	2020-11-23	Vereniging Vrienden van Stadsherstel Suriname lanceert videoreeks 'Futu Pasi'	0
Geschiedenis 'Suriname is praktisch failliet' - NPO Radio 1	https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3Lm5wb3JhZGlvMS5ubC9uaWV1d3MvZ2VzY2hpZWRlbmlzL2ViODUzZWIzLWVkMjAtNGE5My05ZWNhLTQzMjExODcxMDZlMS9zdXJpbmFtZS1pcy1wcmFrdGlzY2gtZmFpbGxpZXTSAQA?oc=5	NPO Radio 1	2020-11-25	Geschiedenis 'Suriname is praktisch failliet'	0
Opnieuw grote olievondst bij Suriname, de vierde dit jaar - NOS	https://news.google.com/__i/rss/rd/articles/CBMiGGh0dHBzOi8vbm9zLm5sL2wvMjM2MDIyMtIBYGh0dHBzOi8vYW1wLm5vcy5ubC9hcnRpa2VsLzIzNjAyMjItb3BuaWV1dy1ncm90ZS1vbGlldm9uZHN0LWJpai1zdXJpbmFtZS1kZS12aWVyZGUtZGl0LWphYXIuaHRtbA?oc=5	NOS	2020-12-11	Opnieuw grote olievondst bij Suriname, de vierde dit jaar	0
Suriname: 140 kilo cocaïne in haven Paramaribo - Crimesite	https://news.google.com/__i/rss/rd/articles/CBMiImh0dHBzOi8vd3d3LmNyaW1lc2l0ZS5ubC8xMzk5MTQtMi_SAQA?oc=5	Crimesite	2020-12-19	Suriname: 140 kilo cocaïne in haven Paramaribo	0
Aanscherping avondklok in Suriname - Nederlands Dagblad	https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3Lm5kLm5sL25pZXV3cy92YXJpYS8xMDA5NTg4L2FhbnNjaGVycGluZy1hdm9uZGtsb2staW4tc3VyaW5hbWXSAQA?oc=5	Nederlands Dagblad	2020-12-21	Aanscherping avondklok in Suriname	0
Een vraag die het particuliere ontstijgt: wat betekent het om Surinamer te zijn? - Parool.nl	https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3LnBhcm9vbC5ubC9rdW5zdC1tZWRpYS9lZW4tdnJhYWctZGllLWhldC1wYXJ0aWN1bGllcmUtb250c3Rpamd0LXdhdC1iZXRla2VudC1oZXQtb20tc3VyaW5hbWVyLXRlLXppam5-YmM2Nzk4Y2Yv0gEA?oc=5	Parool.nl	2020-12-31	Een vraag die het particuliere ontstijgt: wat betekent het om Surinamer te zijn?	0
Nederlands plantagebedrijf en Belgische managers laten Suriname met schulden en bananen achter - MO	https://news.google.com/__i/rss/rd/articles/CBMiU2h0dHBzOi8vd3d3Lm1vLmJlL2FuYWx5c2UvZnJ1aXQtZmFybS1ncm91cC1sYWF0LXN1cmluYW1lLXNjaHVsZGVuLWVuLWJhbmFuZW4tYWNodGVy0gEA?oc=5	MO	2021-01-01	Nederlands plantagebedrijf en Belgische managers laten Suriname met schulden en bananen achter	0
Komende twee weekenden lockdown in Suriname - Nederlands Dagblad	https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vd3d3Lm5kLm5sL25pZXV3cy92YXJpYS8xMDE2NTE3L2tvbWVuZGUtdHdlZS13ZWVrZW5kZW4tbG9ja2Rvd24taW4tc3VyaW5hbWXSAQA?oc=5	Nederlands Dagblad	2021-01-26	Komende twee weekenden lockdown in Suriname	0
Nederlandse ministerie van BuZa gebruikt al jarenlang verkeerde kaart Suriname - Dagblad Suriname	https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vd3d3LmRic3VyaW5hbWUuY29tLzIwMjEvMDIvMjIvbmVkZXJsYW5kc2UtbWluaXN0ZXJpZS12YW4tYnV6YS1nZWJydWlrdC1hbC1qYXJlbmxhbmctdmVya2VlcmRlLWthYXJ0LXN1cmluYW1lL9IBAA?oc=5	Dagblad Suriname	2021-02-22	Nederlandse ministerie van BuZa gebruikt al jarenlang verkeerde kaart Suriname	0
Suriname begint met vaccineren en versoepelt coronamaatregelen - NRC	https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3Lm5yYy5ubC9uaWV1d3MvMjAyMS8wMi8yMy9zdXJpbmFtZS1iZWdpbnQtbWV0LXZhY2NpbmVyZW4tZW4tdmVyc29lcGVsdC1jb3JvbmFtYWF0cmVnZWxlbi1hNDAzMjkxMNIBAA?oc=5	NRC	2021-02-23	Suriname begint met vaccineren en versoepelt coronamaatregelen	0
Nederland en Suriname slaan handen ineen in strijd tegen nierziekten - NOS	https://news.google.com/__i/rss/rd/articles/CBMiGGh0dHBzOi8vbm9zLm5sL2wvMjM3MTA5NNIBbGh0dHBzOi8vYW1wLm5vcy5ubC9hcnRpa2VsLzIzNzEwOTQtbmVkZXJsYW5kLWVuLXN1cmluYW1lLXNsYWFuLWhhbmRlbi1pbmVlbi1pbi1zdHJpamQtdGVnZW4tbmllcnppZWt0ZW4uaHRtbA?oc=5	NOS	2021-03-03	Nederland en Suriname slaan handen ineen in strijd tegen nierziekten	0
