title	link	source	date	title_corrected	migracion
Name of Apple's Smartwatch Wasn't a Secret — at Least in Trinidad and Tobago - Wall Street Journal	https://news.google.com/__i/rss/rd/articles/CBMiKGh0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvQkwtTEItNDkxNzDSAXNodHRwczovL3d3dy53c2ouY29tL2FtcC9hcnRpY2xlcy9uYW1lLW9mLWFwcGxlLXNtYXJ0d2F0Y2gtd2FzbnQtYS1zZWNyZXQtYXQtbGVhc3QtaW4tdHJpbmlkYWQtYW5kLXRvYmFnby0xNDEwMzc5MDE2?oc=5	Wall Street Journal	2014-09-10	Name of Apple's Smartwatch Wasn't a Secret — at Least in Trinidad and Tobago	0
FIFA suspends Trinidad and Tobago : - The Tico Times	https://news.google.com/__i/rss/rd/articles/CBMiQmh0dHBzOi8vdGljb3RpbWVzLm5ldC8yMDIwLzA5LzI1L2ZpZmEtc3VzcGVuZHMtdHJpbmlkYWQtYW5kLXRvYmFnb9IBAA?oc=5	The Tico Times	2020-09-25	FIFA suspends Trinidad and Tobago :	0
Trinidad and Tobago Football Association v. FIFA – the validity of normalisation committees and exclusive jurisdiction of CAS - LawInSport	https://news.google.com/__i/rss/rd/articles/CBMioQFodHRwczovL3d3dy5sYXdpbnNwb3J0LmNvbS90b3BpY3MvaXRlbS90cmluaWRhZC1hbmQtdG9iYWdvLWZvb3RiYWxsLWFzc29jaWF0aW9uLXYtZmlmYS10aGUtdmFsaWRpdHktb2Ytbm9ybWFsaXNhdGlvbi1jb21taXR0ZWVzLWFuZC1leGNsdXNpdmUtanVyaXNkaWN0aW9uLW9mLWNhc9IBAA?oc=5	LawInSport	2020-10-13	Trinidad and Tobago Football Association v. FIFA – the validity of normalisation committees and exclusive jurisdiction of CAS	0
'Significant discovery': Touchstone makes third gas find in Trinidad & Tobago - Upstream Online	https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LnVwc3RyZWFtb25saW5lLmNvbS9leHBsb3JhdGlvbi9zaWduaWZpY2FudC1kaXNjb3ZlcnktdG91Y2hzdG9uZS1tYWtlcy10aGlyZC1nYXMtZmluZC1pbi10cmluaWRhZC10b2JhZ28vMi0xLTg5Mjc3ONIBAA?oc=5	Upstream Online	2020-10-14	'Significant discovery': Touchstone makes third gas find in Trinidad & Tobago	0
Inside Trinidad and Tobago's Manufacturing Landscape - Manufacturing Global	https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vbWFudWZhY3R1cmluZ2dsb2JhbC5jb20vbGVhbi1tYW51ZmFjdHVyaW5nL2luc2lkZS10cmluaWRhZC1hbmQtdG9iYWdvcy1tYW51ZmFjdHVyaW5nLWxhbmRzY2FwZdIBAA?oc=5	Manufacturing Global	2020-10-15	Inside Trinidad and Tobago's Manufacturing Landscape	0
Austal Vietnam delivers catamaran to Trinidad and Tobago - Cruise and Ferry	https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LmNydWlzZWFuZGZlcnJ5Lm5ldC9hcnRpY2xlcy9hdXN0YWwtdmlldG5hbS1kZWxpdmVycy1jYXRhbWFyYW4tdG8tdHJpbmlkYWQtYW5kLXRvYmFnby0x0gEA?oc=5	Cruise and Ferry	2020-11-06	Austal Vietnam delivers catamaran to Trinidad and Tobago	0
20 inside pictures and videos of Dwayne Bravo’s luxurious bungalow in Trinidad & Tobago, West Indies - GQ India	https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3d3dy5ncWluZGlhLmNvbS9lbnRlcnRhaW5tZW50L2NvbnRlbnQvZHdheW5lLWJyYXZvcy1sdXh1cmlvdXMtYnVuZ2Fsb3ctaG9tZS1pbi10cmluaWRhZC1hbmQtdG9iYWdvLXdlc3QtaW5kaWVzLXBpY3R1cmVzLWFuZC12aWRlb3PSAY4BaHR0cHM6Ly93d3cuZ3FpbmRpYS5jb20vZW50ZXJ0YWlubWVudC9jb250ZW50L2R3YXluZS1icmF2b3MtbHV4dXJpb3VzLWJ1bmdhbG93LWhvbWUtaW4tdHJpbmlkYWQtYW5kLXRvYmFnby13ZXN0LWluZGllcy1waWN0dXJlcy1hbmQtdmlkZW9zP2FtcA?oc=5	GQ India	2020-11-17	20 inside pictures and videos of Dwayne Bravo’s luxurious bungalow in Trinidad & Tobago, West Indies	0
FIFA lifts suspension of Trinidad and Tobago Football Association - Insidethegames.biz	https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3Lmluc2lkZXRoZWdhbWVzLmJpei9hcnRpY2xlcy8xMTAwOTc0L3R0ZmEtc3VzcGVuc2lvbi1saWZ0ZWQtYnktZmlmYdIBAA?oc=5	Insidethegames.biz	2020-11-19	FIFA lifts suspension of Trinidad and Tobago Football Association	0
Proman, UWI to explore biogas potential in Trinidad and Tobago - Bioenergy Insight Magazine	https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LmJpb2VuZXJneS1uZXdzLmNvbS9uZXdzL3Byb21hbi11d2ktdG8tZXhwbG9yZS1iaW9nYXMtcG90ZW50aWFsLWluLXRyaW5pZGFkLWFuZC10b2JhZ28v0gEA?oc=5	Bioenergy Insight Magazine	2021-01-25	Proman, UWI to explore biogas potential in Trinidad and Tobago	0
Trinidad and Tobago to investigate offshore wind - 4C Offshore	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LjRjb2Zmc2hvcmUuY29tL25ld3MvdHJpbmlkYWQtYW5kLXRvYmFnby10by1pbnZlc3RpZ2F0ZS1vZmZzaG9yZS13aW5kLW5pZDIwOTExLmh0bWzSAQA?oc=5	4C Offshore	2021-02-05	Trinidad and Tobago to investigate offshore wind	0
