title	link	source	date	title_corrected	migracion
DolarToday: a cuánto se cotiza el dólar, hoy 15 de agosto - El Comercio Perú	https://news.google.com/__i/rss/rd/articles/CBMi2gFodHRwczovL2VsY29tZXJjaW8ucGUvZWNvbm9taWEvbWVyY2Fkb3MvY29uc3VsdGEtZG9sYXJ0b2RheS12ZW5lenVlbGEtYS1jdWFudG8tc2UtY290aXphLWVsLWRvbGFyLWhveS0xNS1kZS1hZ29zdG8tZG9sYXItbW9uaXRvci1kb2xhcmVzLWEtYm9saXZhcmVzLXZlbmV6b2xhbm9zLWludGVyYmFuZXgtY29tcHJhLXZlbnRhLWJvbGl2YXJlcy1hLWRvbGFyZXMtbm5kYy1ub3RpY2lhL9IB6QFodHRwczovL2VsY29tZXJjaW8ucGUvZWNvbm9taWEvbWVyY2Fkb3MvY29uc3VsdGEtZG9sYXJ0b2RheS12ZW5lenVlbGEtYS1jdWFudG8tc2UtY290aXphLWVsLWRvbGFyLWhveS0xNS1kZS1hZ29zdG8tZG9sYXItbW9uaXRvci1kb2xhcmVzLWEtYm9saXZhcmVzLXZlbmV6b2xhbm9zLWludGVyYmFuZXgtY29tcHJhLXZlbnRhLWJvbGl2YXJlcy1hLWRvbGFyZXMtbm5kYy1ub3RpY2lhLz9vdXRwdXRUeXBlPWFtcA?oc=5	El Comercio Perú	2021-08-15	DolarToday: a cuánto se cotiza el dólar, hoy 15 de agosto	0
Detenida en Barquisimeto por estafar con asignaciones del Estado - La Prensa de Lara	https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LmxhcHJlbnNhbGFyYS5jb20udmUvbm90YS8zNDk2Ny8yMDIxLzA4L2RldGVuaWRhLWVuLWJhcnF1aXNpbWV0by1wb3ItZXN0YWZhci1jb24tYXNpZ25hY2lvbmVzLWRlbC1lc3RhZG_SAXxodHRwczovL3d3dy5sYXByZW5zYWxhcmEuY29tLnZlL2FtcC8yMDIxLzA4LzE1LzM0OTY3LTEtZGV0ZW5pZGEtZW4tYmFycXVpc2ltZXRvLXBvci1lc3RhZmFyLWNvbi1hc2lnbmFjaW9uZXMtZGVsLWVzdGFkby5odG1s?oc=5	La Prensa de Lara	2021-08-15	Detenida en Barquisimeto por estafar con asignaciones del Estado	0
Presuntos colectivos asesinan a funcionario del Cicpc en Caracas - La Prensa de Lara	https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LmxhcHJlbnNhbGFyYS5jb20udmUvbm90YS8zNDk2Ni8yMDIxLzA4L3ByZXN1bnRvcy1jb2xlY3Rpdm9zLWFzZXNpbmFuLWEtZnVuY2lvbmFyaW8tZGVsLWNpY3BjLWVuLWNhcmFjYXPSAXxodHRwczovL3d3dy5sYXByZW5zYWxhcmEuY29tLnZlL2FtcC8yMDIxLzA4LzE1LzM0OTY2LTEtcHJlc3VudG9zLWNvbGVjdGl2b3MtYXNlc2luYW4tYS1mdW5jaW9uYXJpby1kZWwtY2ljcGMtZW4tY2FyYWNhcy5odG1s?oc=5	La Prensa de Lara	2021-08-15	Presuntos colectivos asesinan a funcionario del Cicpc en Caracas	0
Este lunes arranca el registro para el pasaje estudiantil - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9nZW5lcmFsL2VzdGUtbHVuZXMtYXJyYW5jYS1lbC1yZWdpc3Ryby1wYXJhLWVsLXBhc2FqZS1lc3R1ZGlhbnRpbC_SAQA?oc=5	Últimas Noticias	2021-08-15	Este lunes arranca el registro para el pasaje estudiantil	0
Cicpc identificó al homicida de Luzdani Bravo Ramos, cuyo cuerpo se halló en Bolívar - El Carabobeño	https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3LmVsLWNhcmFib2Jlbm8uY29tL2NpY3BjLWlkZW50aWZpY28taG9taWNpZGEtbHV6ZGFuaS1icmF2by1yYW1vcy_SAQA?oc=5	El Carabobeño	2021-08-15	Cicpc identificó al homicida de Luzdani Bravo Ramos, cuyo cuerpo se halló en Bolívar	0
"""Monstruo de El Degredo"" atacó a sus víctimas mientras dormían - La Prensa de Lara"	https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3LmxhcHJlbnNhbGFyYS5jb20udmUvbm90YS8zNDk5MS8yMDIxLzA4L21vbnN0cnVvLWRlLWVsLWRlZ3JlZG8tYXRhY28tYS1zdXMtdmljdGltYXMtbWllbnRyYXMtZG9ybWlhbtIBAA?oc=5	La Prensa de Lara	2021-08-15	"""Monstruo de El Degredo"" atacó a sus víctimas mientras dormían"	0
"Murió en presunto enfrentamiento en Cabimas ""El Diablo de Santa Marta"" solicitado por la policía colombiana - El Carabobeño"	https://news.google.com/__i/rss/rd/articles/CBMiiAFodHRwczovL3d3dy5lbC1jYXJhYm9iZW5vLmNvbS9tdXJpby1lbi1wcmVzdW50by1lbmZyZW50YW1pZW50by1lbi1jYWJpbWFzLWVsLWRpYWJsby1kZS1zYW50YS1tYXJ0YS1zb2xpY2l0YWRvLXBvci1sYS1wb2xpY2lhLWNvbG9tYmlhbmEv0gEA?oc=5	El Carabobeño	2021-08-16	"Murió en presunto enfrentamiento en Cabimas ""El Diablo de Santa Marta"" solicitado por la policía colombiana"	0
El método 7+7 y el apoyo internacional ejercen el control del Covid-19 - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9wb2xpdGljYS9lbC1tZXRvZG8tNzcteS1lbC1hcG95by1pbnRlcm5hY2lvbmFsLWVqZXJjZXItY29udHJvbC1kZWwtY292aWQtMTkv0gEA?oc=5	Últimas Noticias	2021-08-16	El método 7+7 y el apoyo internacional ejercen el control del Covid-19	0
Supuestos atracadores asesinaron a niña e hirieron a su madre en Monagas - El Carabobeño	https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LmVsLWNhcmFib2Jlbm8uY29tL3N1cHVlc3Rvcy1hdHJhY2Fkb3Jlcy1hc2VzaW5hcm9uLWEtbmluYS1lLWhpcmllcm9uLWEtc3UtbWFkcmUtZW4tbW9uYWdhcy_SAQA?oc=5	El Carabobeño	2021-08-16	Supuestos atracadores asesinaron a niña e hirieron a su madre en Monagas	0
Scarano: Carabobo es un desastre y el gobernador fuma tabacos que cuestan cinco salarios mínimos - El Carabobeño	https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LmVsLWNhcmFib2Jlbm8uY29tL3NjYXJhbm8tY2FyYWJvYm8tZXMtdW4tZGVzYXN0cmUteS1lbC1nb2Jlcm5hZG9yLWZ1bWEtdGFiYWNvcy1xdWUtY3Vlc3Rhbi1jaW5jby1zYWxhcmlvcy1taW5pbW9zL9IBAA?oc=5	El Carabobeño	2021-08-16	Scarano: Carabobo es un desastre y el gobernador fuma tabacos que cuestan cinco salarios mínimos	0
Gobierno espera solventar nivel de combustible para consumo interno - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMidWh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9wb2xpdGljYS9nb2JpZXJuby1lc3BlcmEtc29sdmVudGFyLW5pdmVsLWRlLWNvbWJ1c3RpYmxlLXBhcmEtY29uc3Vtby1pbnRlcm5vL9IBAA?oc=5	Últimas Noticias	2021-08-16	Gobierno espera solventar nivel de combustible para consumo interno	0
Hackeada mensajería de texto de la Sala de Casación Civil - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9zdWNlc29zL2hhY2tlYWRhLW1lbnNhamVyaWEtZGUtdGV4dG8tZGUtbGEtc2FsYS1kZS1jYXNhY2lvbi1jaXZpbC_SAQA?oc=5	Últimas Noticias	2021-08-16	Hackeada mensajería de texto de la Sala de Casación Civil	0
Secuestradores piden 30 kg de oro para liberar a comerciante - La Prensa de Lara	https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3LmxhcHJlbnNhbGFyYS5jb20udmUvbm90YS8zNDk5OS8yMDIxLzA4L3NlY3Vlc3RyYWRvcmVzLXBpZGVuLTMwLWtnLWRlLW9yby1wYXJhLWxpYmVyYXItYS1jb21lcmNpYW50ZdIBeGh0dHBzOi8vd3d3LmxhcHJlbnNhbGFyYS5jb20udmUvYW1wLzIwMjEvMDgvMTYvMzQ5OTktMi1zZWN1ZXN0cmFkb3Jlcy1waWRlbi0zMC1rZy1kZS1vcm8tcGFyYS1saWJlcmFyLWEtY29tZXJjaWFudGUuaHRtbA?oc=5	La Prensa de Lara	2021-08-16	Secuestradores piden 30 kg de oro para liberar a comerciante	0
Maduro: fracasó la política guerrerista e injerencista de EEUU en el mundo - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9wb2xpdGljYS9tYWR1cm8tZnJhY2Fzby1sYS1wb2xpdGljYS1ndWVycmVyaXN0YS1lLWluamVyZW5jaXN0YS1kZS1lZXV1LWVuLWVsLW11bmRvL9IBAA?oc=5	Últimas Noticias	2021-08-16	Maduro: fracasó la política guerrerista e injerencista de EEUU en el mundo	0
Preso por agredir físicamente a un vigilante - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9zdWNlc29zL3ByZXNvLXBvci1hZ3JlZGlyLWZpc2ljYW1lbnRlLWEtdW4tdmlnaWxhbnRlL9IBAA?oc=5	Últimas Noticias	2021-08-16	Preso por agredir físicamente a un vigilante	0
Este domingo se registraron 909 contagios de covid-19 en el país - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMicmh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9tYXMtdmlkYS9lc3RlLWRvbWluZ28tc2UtcmVnaXN0cmFyb24tOTA5LWNvbnRhZ2lvcy1kZS1jb3ZpZC0xOS1lbi1lbC1wYWlzL9IBAA?oc=5	Últimas Noticias	2021-08-16	Este domingo se registraron 909 contagios de covid-19 en el país	0
PSUV confirma otros 104 candidatos a las alcaldías - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9wb2xpdGljYS9wc3V2LWNvbmZpcm1hLW90cm9zLTEwNC1jYW5kaWRhdG9zLWEtbGFzLWFsY2FsZGlhcy_SAQA?oc=5	Últimas Noticias	2021-08-16	PSUV confirma otros 104 candidatos a las alcaldías	0
Cicpc detuvo a tres mujeres por supuesta explotación sexual en Cagua - El Carabobeño	https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LmVsLWNhcmFib2Jlbm8uY29tL2NpY3BjLWRldHV2by1hLXRyZXMtbXVqZXJlcy1wb3Itc3VwdWVzdGEtZXhwbG9zaW9uLXNleHVhbC1lbi1jYWd1YS_SAQA?oc=5	El Carabobeño	2021-08-16	Cicpc detuvo a tres mujeres por supuesta explotación sexual en Cagua	0
El 3 de septiembre se volverá a instalar la mesa de negociación - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9wb2xpdGljYS9lbC0zLWRlLXNlcHRpZW1icmUtc2Utdm9sdmVyYS1hLWluc3RhbGFyLWxhLW1lc2EtZGUtbmVnb2NpYWNpb24v0gEA?oc=5	Últimas Noticias	2021-08-16	El 3 de septiembre se volverá a instalar la mesa de negociación	0
La oposición pateó y traicionó Mesa de diálogo en Santo Domingo - Últimas Noticias	https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vdWx0aW1hc25vdGljaWFzLmNvbS52ZS9ub3RpY2lhcy9wb2xpdGljYS9sYS1vcG9zaWNpb24tcGF0ZW8teS10cmFpY2lvbm8tbWVzYS1kZS1kaWFsb2dvLWVuLXNhbnRvLWRvbWluZ28v0gEA?oc=5	Últimas Noticias	2021-08-16	La oposición pateó y traicionó Mesa de diálogo en Santo Domingo	0
Lacava: Si la oposición va unida el 21N en Carabobo habrá Drácula para rato - El Carabobeño	https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LmVsLWNhcmFib2Jlbm8uY29tL2xhY2F2YS1zaS1sYS1vcG9zaWNpb24tdmEtdW5pZGEtZW4tY2FyYWJvYm8tYWwtMjFuLWhhYnJhLWRyYWN1bGEtcGFyYS1yYXRvL9IBAA?oc=5	El Carabobeño	2021-08-16	Lacava: Si la oposición va unida el 21N en Carabobo habrá Drácula para rato	0
DolarToday Venezuela: ¿a cuánto se cotiza el dólar?, hoy martes 17 de agosto del 2021 - El Comercio Perú	https://news.google.com/__i/rss/rd/articles/CBMi3wFodHRwczovL2VsY29tZXJjaW8ucGUvZWNvbm9taWEvbWVyY2Fkb3MvZG9sYXJ0b2RheS12ZW5lenVlbGEtY29ub2NlLWVsLXByZWNpby1kZWwtZG9sYXItcGFyYS1ob3ktbWFydGVzLTE3LWRlLWFnb3N0by1kZS0yMDIxLXRpcG8tZGUtY2FtYmlvLWRvbGFyLW1vbml0b3ItdXNkLWEtYm9saXZhcmVzLXZlbmV6b2xhbm9zLWludGVyYmFuZXgtY290aXphY2lvbi1kb2xhci1ubmRjLW5vdGljaWEv0gHuAWh0dHBzOi8vZWxjb21lcmNpby5wZS9lY29ub21pYS9tZXJjYWRvcy9kb2xhcnRvZGF5LXZlbmV6dWVsYS1jb25vY2UtZWwtcHJlY2lvLWRlbC1kb2xhci1wYXJhLWhveS1tYXJ0ZXMtMTctZGUtYWdvc3RvLWRlLTIwMjEtdGlwby1kZS1jYW1iaW8tZG9sYXItbW9uaXRvci11c2QtYS1ib2xpdmFyZXMtdmVuZXpvbGFub3MtaW50ZXJiYW5leC1jb3RpemFjaW9uLWRvbGFyLW5uZGMtbm90aWNpYS8_b3V0cHV0VHlwZT1hbXA?oc=5	El Comercio Perú	2021-08-17	DolarToday Venezuela: ¿a cuánto se cotiza el dólar?, hoy martes 17 de agosto del 2021	0
Los bonos de PDVSA y el riesgo de perder la ‘joya de la corona’ de Venezuela - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vZWxwYWlzLmNvbS9lY29ub21pYS8yMDIxLTA4LTE3L2xvcy1ib25vcy1kZS1wZHZzYS15LWVsLXJpZXNnby1kZS1wZXJkZXItbGEtam95YS1kZS1sYS1jb3JvbmEtZGUtdmVuZXp1ZWxhLmh0bWzSAYUBaHR0cHM6Ly9lbHBhaXMuY29tL2Vjb25vbWlhLzIwMjEtMDgtMTcvbG9zLWJvbm9zLWRlLXBkdnNhLXktZWwtcmllc2dvLWRlLXBlcmRlci1sYS1qb3lhLWRlLWxhLWNvcm9uYS1kZS12ZW5lenVlbGEuaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5	EL PAÍS	2021-08-17	Los bonos de PDVSA y el riesgo de perder la ‘joya de la corona’ de Venezuela	0
