	id_t	tweet	topic
0	1087723988669861890	Repugnante el accionar de ecuatorianos y ecuatorianas frente al violento asesinato ocurrido en Ibarra. El dolor no justifica acciones racista de xenofobia que además se dan con los migrantes POR SER  pobres. #TODOSSOMOSMIGRANTES  https://t.co/XEgw7y5p6i	crimen
1	1304220001566687232	@CarlosRierx Las gorras de béisbol y otra con la vinotinto de Venezuela los delata no hay que ser tan detallista . Los ladrones acá en Colombia no son tan organizados .  Sé que eres venezolano pero esa es la realidad no todos son ratas pero esos que salen en el vídeo estoy segurísimo que si .	crimen
2	1153101154143920128	@DoliaEstevez @revistaproceso No, estamos cuidando nuestra frontera, estamos cuidando nuestro país. Sabemos la cantidad de banda de delincuentes, maras y rateros que migran a nuestro país. Súmale que si no se les protege a esos migrantes, México sería lo que fue sexenios anteriores.	crimen
3	1281333343838232576	Tengo un amigo que está viviendo en Chile, es venezolano, el sábado (otros venezolanos) lo robaron a mano armada a él y a otras personas. Diosmiobendito ¿hasta cuándo nos dejarán mal parados ese tipo de gente? Son una vergüenza.	crimen
4	1264968643110211585	@ BarretoCarina1 Acabo de describir lo que pasó, no fue por xenofobia ni por ningún prejuicio. De todos modos, cualquier grupo que sea inmigrante masivo o marginado durante mucho tiempo tendrá más miembros cometiendo delitos, es normal.	crimen
5	1329088382207549444	@desphern @arboroa2014 @EmilyKhrist @UltimaHoraBLU Exijian Visa, retenes y redadas para deportar indocumentados, no era facil para los Colombianos de esa época. Los controles  rigurosos son necesarios y los delincuente que paguen carcel en Colombia y no deportarlos, qya que a l mes están nuevamente de regreso.	crimen
6	1346165793617305602	Dije solitarios no terroristas solitarios como los locales. Santiaguinos y la mafia nos e titula. Somos migrantes solitarios. Y punto. Nada de tarjeta. Nada social. Nada de nada. Y algunos casos ya pasamos a negar nos a recibir derechos. La negación llegó a tal punto que mejor	politica
7	1177774977321459719	@ADRIANAAZZIAS Hacer un llamado a las autoridades tanto peruanas como venezolanas,para que tomen cartas en el asunto! No se puede permitir tanta xenofobia....	denun
8	1369746226393055232	@Alonso_GD Por qué los EEUU no les abrió las puertas a los venezolanos? Tampoco seas iluso con el empresariado peruano que no solo te explota sino también te deja morir. Al empresariado les gusta la mano de obra barata.	empleo
9	1314249479743209473	La #xenofobia en Ecuador es muy notoria, desde que un venezolano llega al aeropuerto, los de #migracionec lo aplican. Nuestro gobierno e instituciones no respeta el #derechoalbuenvivir y exige a su pueblo que lo haga. ¡DEN EL EJEMPLO! @CancilleriaEc	denun
10	1388942234289123336	@Cooperativa Que los venezolanos en Chile regresen a Venezuela y recuperen su democracia, sería un gran gesto hacia su país.	otro
11	1182109288224972802	@Lucianoda buenas noches sr luciano, me gustaria ponerme en contacto con usted para una conferencia que esta siendo organizada en medellin, con tema central xenofobia... en la cual estaremos participando varias organizaciones de venezolanos	otro
12	1316050703748599808	@lopezobrador_ Si, siempre me pregunté porque amlo fue el único que no tomó medidas como cerrar fronteras, deportar extranjeros, ponerlos en cuarentena... o cualquier otra solución   pero mientras sigan con los pobres... van bien	politica
13	1254195656849154049	@augustoreyh EN QUE PAIS VIVES? El 11 de marzo Vizcarra no habia cerrado ninguna frontera y permitio que miles de INFECTADOS entren por Jorge Chavez y NO HICIERAN CUARENTENA, porque solo haría pruebas ALEATORIAS. Esta crisis es responsabilidad de VIZCARRA.  https://t.co/5O3QdWzj6i	politica
14	1367859339021672462	Ojo que ya en(cali-colombia)se estan o ya se formaron  bandas de venezolanos (venecos)  dispuestos a delinquir, extorsionar y ahora que? @JorgeIvanOspina @IvanDuque @PoliciaCali @ClaraLuzRoldan @SeguridadCali Aqui viene todas las escorias de afuera y hacen lo que les da la gana	crimen
15	1366048259010101257	@LaPancuecue Cacha que mi abuelo es full anti-imigrantes y yo así como DUDE ERES CHILENO, que vivas hace décadas en Alemania no te quita lo chileno, inmigrante culiao xd	otro
16	1358889801697665029	@GUSMALDONADOS @IvanDuque Un tiro al aire fue ese HPTA... esto de regularizar a los venezolanos va a ser para nosotros, sobre todo los que vivimos en zona de frontera, una pesadilla de proporciones inimaginables, que se prepare Colombia para la avalancha de venezolanos que se nos viene.	politica
17	1334664641629319171	Simplemente se olvidó de comentar que el estallido se debió al éxodo de venezolanos, quienes llegaron a Brasil huyendo de la dictadura chavista que generó desempleo, hambre y persecución para quienes no están de acuerdo con el gobierno de Maduro. https://t.co/le43nfBskp	causas
18	1357143156454785025	@Luis_A_Riveros La política de inmigración es que no hay una política ...	politica
19	1190085065373626376	@Coca_Ramirez La única forma de comprobar esa información es ver en el colegio de tu hija cuantos migrantes van a entrar, versus la la cantidad de chilenos	servpub
20	1364660750313279492	Con mucho respeto por la UE y comunidad internacional, hacemos el análisis q los 🇻🇪 q se van no son MIGRANTES, son ciudadanos q huyen ante el hambre, la recesión económica, la persecución, tortura, malos tratos y muerte en muchos casos(desaparición fortuita)	causas
21	1388121533021818888	"@lafm Esos ""atracadores y delincuentes"" son pagos y contratados por los mismos organizadores de las marchas, lo hacen para no ensuciarse las manos... en Bogotá contratan venezolanos indocumentados que por $20.000 se hacen matar, esa práctica se realiza hace tiempos."	crimen
22	1357743593885212676	@AntoTruth @elmistral2 Y la gente sinceramente se canso de la inmigracion ilegal, no hay trabajo en chile como para tanta gente!!	empleo
